job_id,permit_type,permit_subtype,work_type,job_type,filing_status,filing_date,borough,community_board,residential,bldg_type,zip_code
301093590,EW,BL,BL,A2,RENEWAL,2023-09-12,BROOKLYN,306,,2,11215
321480214,EW,OT,OT,A2,RENEWAL,2023-09-13,BROOKLYN,318,,2,11236
302075830,EW,OT,OT,A2,RENEWAL,2023-09-13,BROOKLYN,310,,2,11220
321769877,AL,,,A1,RENEWAL,2023-09-13,BROOKLYN,308,,2,11213
321728074,EW,OT,OT,A2,RENEWAL,2023-09-13,BROOKLYN,302,YES,2,11201
310068342,AL,,,A1,RENEWAL,2023-09-13,BROOKLYN,318,YES,1,11234
121189472,AL,,,A1,RENEWAL,2023-09-13,MANHATTAN,104,YES,1,10011
300690312,AL,,,A1,RENEWAL,2023-09-14,BROOKLYN,308,YES,2,11216
402415356,NB,,,NB,RENEWAL,2023-09-15,QUEENS,412,YES,1,11433
440799450,EW,OT,OT,A2,INITIAL,2023-09-15,QUEENS,410,YES,1,11420
321594137,PL,,PL,NB,RENEWAL,2023-09-18,BROOKLYN,305,,2,11207
121204035,NB,,,NB,RENEWAL,2023-09-18,MANHATTAN,102,YES,2,10014
421573087,FO,EA,,NB,RENEWAL,2023-09-18,QUEENS,404,YES,1,11368
322099199,DM,,,DM,INITIAL,2023-09-19,BROOKLYN,301,,1,11222
321904150,EW,OT,OT,A2,RENEWAL,2023-09-19,BROOKLYN,308,YES,1,11233
100561429,EW,SP,SP,A1,RENEWAL,2023-09-19,MANHATTAN,105,,2,10010
421133507,NB,,,NB,RENEWAL,2023-09-20,QUEENS,414,,2,11691
440653268,EW,OT,OT,A2,INITIAL,2023-09-20,QUEENS,408,YES,1,11367
321915442,EW,OT,OT,A2,RENEWAL,2023-09-20,BROOKLYN,318,YES,1,11234
421943829,EW,OT,OT,A2,RENEWAL,2023-09-20,QUEENS,412,YES,1,11434
421133507,FO,,,NB,RENEWAL,2023-09-20,QUEENS,414,,2,11691
340767879,EW,OT,OT,A2,INITIAL,2023-09-20,BROOKLYN,312,YES,1,11219
340658844,EW,BL,BL,A2,INITIAL,2023-09-20,BROOKLYN,304,,2,11206
121371256,AL,,,A1,RENEWAL,2023-09-20,MANHATTAN,101,,2,10013
421643993,NB,,,NB,RENEWAL,2023-09-21,QUEENS,401,YES,2,11106
200984747,NB,,,NB,RENEWAL,2023-09-21,BRONX,201,YES,1,10455
320593602,NB,,,NB,RENEWAL,2023-09-21,BROOKLYN,301,,2,11222
421902702,EW,OT,OT,A2,RENEWAL,2023-09-22,QUEENS,409,,2,11416
340772747,EW,OT,OT,A2,RENEWAL,2023-09-22,BROOKLYN,317,YES,1,11203
322105583,EQ,OT,EQ,DM,INITIAL,2023-09-22,BROOKLYN,306,,2,11231
440788202,EW,OT,OT,A2,INITIAL,2023-09-25,QUEENS,403,YES,1,11368
322105583,DM,,,DM,INITIAL,2023-09-26,BROOKLYN,306,,2,11231
121749493,PL,,PL,A1,RENEWAL,2023-09-26,MANHATTAN,110,,2,10026
321958850,FO,EA,,NB,RENEWAL,2023-09-27,BROOKLYN,304,YES,2,11221
220628202,EW,OT,OT,A2,RENEWAL,2023-09-28,BRONX,203,YES,2,10456
220628202,PL,,PL,A2,RENEWAL,2023-09-28,BRONX,203,YES,2,10456
220732777,NB,,,NB,RENEWAL,2023-09-28,BRONX,212,YES,2,10466
210179340,NB,,,NB,RENEWAL,2023-09-28,BRONX,212,YES,1,10469
421925787,EW,OT,OT,A2,RENEWAL,2023-10-05,QUEENS,414,YES,1,11694
421925787,EW,MH,MH,A2,RENEWAL,2023-10-05,QUEENS,414,,1,11694
340702573,AL,,OT,A3,RENEWAL,2023-10-05,BROOKLYN,306,YES,2,11215
421862504,PL,,PL,A1,INITIAL,2023-10-06,QUEENS,410,YES,2,11417
440806399,EW,OT,OT,A2,INITIAL,2023-10-06,QUEENS,409,YES,1,11419
122851486,EW,OT,OT,A2,RENEWAL,2023-10-09,MANHATTAN,104,YES,2,10011
421899805,EW,OT,OT,A2,RENEWAL,2023-10-10,QUEENS,408,,2,11367
540259496,EW,OT,OT,A2,INITIAL,2023-10-10,STATEN ISLAND,503,YES,1,10307
421921451,AL,,,A1,RENEWAL,2023-10-10,QUEENS,412,YES,1,11434
401471224,AL,,,A1,RENEWAL,2023-10-10,QUEENS,408,YES,1,11435
440629287,EW,OT,OT,A2,INITIAL,2023-10-11,QUEENS,403,,2,11372
322105583,DM,,,DM,INITIAL,2023-10-13,BROOKLYN,306,,2,11231
421592609,AL,,,A1,RENEWAL,2023-10-13,QUEENS,412,,2,11432
420667497,NB,,,NB,RENEWAL,2023-10-13,QUEENS,414,YES,2,11691
421459353,EW,OT,OT,A2,RENEWAL,2023-10-13,QUEENS,413,YES,1,11428
322028417,EW,OT,OT,A2,RENEWAL,2023-10-13,BROOKLYN,316,YES,1,11233
420667497,NB,,,NB,RENEWAL,2023-10-16,QUEENS,414,YES,2,11691
240354371,EW,OT,OT,A2,INITIAL,2023-10-17,BRONX,212,YES,1,10469
340896971,EW,OT,OT,A2,INITIAL,2023-10-18,BROOKLYN,305,YES,1,11208
421598006,NB,,,NB,RENEWAL,2023-10-18,QUEENS,412,YES,2,11432
520335441,PL,,PL,A2,RENEWAL,2023-10-19,STATEN ISLAND,503,YES,1,10312
122418883,AL,,,A1,RENEWAL,2023-10-19,MANHATTAN,104,YES,2,10001
421435254,EQ,FN,EQ,A3,RENEWAL,2023-10-20,QUEENS,414,YES,1,11694
421686134,NB,,,NB,RENEWAL,2023-10-23,QUEENS,405,YES,1,11379
103641686,EW,OT,OT,A2,RENEWAL,2023-10-23,MANHATTAN,112,,2,10033
421549453,EW,OT,OT,A2,RENEWAL,2023-10-23,QUEENS,407,YES,1,11357
240356930,EW,OT,OT,A2,INITIAL,2023-10-23,BRONX,212,YES,1,10469
201203857,EW,OT,OT,A2,RENEWAL,2023-10-25,BRONX,208,,2,10471
123741399,EW,OT,OT,A2,RENEWAL,2023-10-26,MANHATTAN,108,YES,2,10028
322105262,DM,,,DM,INITIAL,2023-10-26,BROOKLYN,306,,2,11231
301320201,NB,,,NB,RENEWAL,2023-10-26,BROOKLYN,301,YES,2,11222
240287355,EW,OT,OT,A2,RENEWAL,2023-10-27,BRONX,205,YES,2,10453
321598035,FO,EA,,NB,INITIAL,2023-10-27,BROOKLYN,312,,2,11230
321598035,FO,,,NB,INITIAL,2023-10-27,BROOKLYN,312,,2,11230
101634108,AL,,,A1,RENEWAL,2023-10-30,MANHATTAN,105,,2,10036
421893115,AL,,,A1,RENEWAL,2023-10-31,QUEENS,411,YES,1,11362
340903721,EW,OT,OT,A2,INITIAL,2023-11-01,BROOKLYN,317,YES,1,11226
123573944,EW,OT,OT,A2,RENEWAL,2023-11-01,MANHATTAN,108,,2,10028
520245075,PL,,PL,A1,RENEWAL,2023-11-01,STATEN ISLAND,503,YES,1,10306
421764022,AL,,,A1,INITIAL,2023-11-01,QUEENS,412,YES,1,11433
440635350,EW,OT,OT,A2,RENEWAL,2023-11-01,QUEENS,409,,2,11418
421893115,AL,,,A1,RENEWAL,2023-11-02,QUEENS,411,YES,1,11362
140459304,EQ,SH,EQ,A3,RENEWAL,2023-11-02,MANHATTAN,110,YES,2,10030
321184428,AL,,,A1,RENEWAL,2023-11-02,BROOKLYN,306,YES,1,11201
301129981,PL,,PL,NB,RENEWAL,2023-11-03,BROOKLYN,301,YES,2,11206
340900797,EW,OT,OT,A2,INITIAL,2023-11-03,BROOKLYN,303,YES,1,11221
340766825,AL,,,A1,INITIAL,2023-11-03,BROOKLYN,314,,1,11210
122136358,EW,OT,OT,A2,RENEWAL,2023-11-06,MANHATTAN,103,,2,10009
122136358,EW,OT,OT,A2,RENEWAL,2023-11-06,MANHATTAN,103,,2,10009
122136358,EW,OT,OT,A2,RENEWAL,2023-11-06,MANHATTAN,103,,2,10009
122136358,EW,OT,OT,A2,RENEWAL,2023-11-06,MANHATTAN,103,,2,10009
220693943,AL,,,A1,RENEWAL,2023-11-08,BRONX,212,YES,1,10466
500081074,NB,,,NB,RENEWAL,2023-11-09,STATEN ISLAND,501,YES,1,10304
